Year,GCB,CABLE-POP,CLASSIC,CLM5.0,DLEM,EDv3,ELM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS ,LPJwsl,LPJml,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,Multi-model mean,Model Spread (sd)
1959,0.430358952,-0.297389244,0.3162,0.276912423,0.434518242,0.71101497,0.8643342,0.568455,1.483839523,0.9656187,0.40977,0.03055551,-0.707992,-0.430672277,0.039440315,0.328831694,0.889956534,0.549868,0.201777444,1.41,0.56214,0.430358952,0.555553029
1960,1.25234663,2.137762406,1.1037,1.790785402,1.671214988,1.14207996,1.738872,1.084692,1.341953041,0.9976718,2.1738,0.677340716,0.835254,0.376548735,1.572189291,0.689288158,1.060377955,1.17662,0.400742143,1.588,1.48804,1.25234663,0.51795895
1961,0.899619515,1.67670893,0.8056,0.885000474,1.341876092,2.08602864,1.270117,0.559826,0.957341203,0.9783638,1.6744,0.245930777,0.795603,-0.054897982,0.131270456,0.437127074,1.466081619,0.856589,-0.693605791,1.3,1.27303,0.899619515,0.664631019
1962,1.293962035,1.831519601,1.0017,0.334234247,1.85588646,1.71883395,1.641357,0.961032,1.470531361,1.179206,2.1866,1.822240196,1.424159,0.390641159,1.05857404,0.165027666,1.70022893,1.54258,-0.435920899,2.1,1.93081,1.293962035,0.710113442
1963,0.959731798,1.392874818,0.0056,1.719622291,1.172224829,1.30601277,1.397455,0.323399,1.156858806,0.5546877,1.6134,1.830432062,-0.026016,-0.101112934,0.328858294,0.215212197,1.54027915,0.770386,0.743381982,2.005,1.24608,0.959731798,0.667635099
1964,1.644886173,2.187612201,1.1209,2.146895075,1.78407598,1.64230076,1.514262,1.376065,1.831623648,1.693289,2.1772,2.790626467,2.190071,0.832800304,1.483583685,0.936195988,1.817588449,1.30522,0.1476239,1.403,2.51679,1.644886173,0.61788329
1965,0.366636244,1.437341434,-0.7434,0.543412025,0.651198813,2.30013855,-0.3162368,0.232806,1.454022451,-0.1009707,0.78444,1.571568628,-0.209082,-0.562446737,-0.481168798,-1.1469862,0.672611415,0.80563,-1.790033206,1.012,1.21788,0.366636244,1.026596386
1966,1.563293953,1.758330697,2.2968,2.026583535,1.596978017,1.95639694,2.19618,0.622894,1.526394379,1.461767,2.4471,1.011416529,1.529188,0.534902652,2.382763417,1.015172714,1.516133904,1.24748,1.611857283,1.154,1.37354,1.563293953,0.546143812
1967,1.730972744,2.119030165,0.8253,1.713524639,2.184944557,2.16912883,1.960419,1.008091,1.458769644,1.056245,2.0801,2.581635438,1.768813,1.298487029,1.503631128,1.358285891,2.675501585,1.09711,1.656327978,1.581,2.52311,1.730972744,0.545208656
1968,2.4856318,2.252646188,2.8189,2.180032455,2.756964308,2.37356943,2.914332,0.94278,2.374879375,1.290294,1.9468,3.289765726,3.705779,2.621744612,3.672455678,1.99077134,2.816543102,1.60507,2.379878786,2.554,3.22543,2.4856318,0.721691717
1969,0.765601269,0.779899953,0.3894,1.639019598,0.265612674,1.74259787,0.6247843,-0.265532,0.489336089,0.527572,1.4159,1.19909412,0.650563,0.621884454,0.710357324,0.627588221,0.67117703,0.758131,0.231259749,0.582,1.65138,0.765601269,0.518334697
1970,0.774795185,1.235072027,0.4842,1.811429612,1.041367055,2.05676384,0.5398163,0.58814,0.757115976,1.07873,1.4928,0.668454193,0.176141,-0.356486487,0.656621588,0.403342314,0.767203629,0.86239,-0.88381734,0.887,1.22962,0.774795185,0.671342244
1971,2.306640669,3.341842288,3.2968,0.910743781,3.23025616,2.81381733,2.501365,0.162779,2.26263732,1.773766,1.9612,3.79363052,3.118324,1.194358737,2.974208732,1.305563725,2.931330204,1.72568,1.170850589,2.546,3.11766,2.306640669,0.985097369
1972,1.253937953,1.263838501,2.39,2.025854878,1.430538156,2.40498788,0.5770553,-1.181915,0.862196611,0.3012751,-0.12304,2.069346687,2.220673,0.860367763,1.605888724,1.066003712,1.740143538,0.9308,0.606334206,1.835,2.19341,1.253937953,0.931477031
1973,1.686948679,2.130953118,3.3093,1.956962473,2.175435106,2.54772336,1.088364,0.113586,1.024571425,1.649407,1.8484,0.846094673,3.346252,-0.146253337,2.615483135,0.769180517,2.132098913,1.24492,1.8491452,0.593,2.64435,1.686948679,0.979802358
1974,3.765889699,4.815588092,5.6114,1.429123745,4.580831552,3.44950153,4.943114,0.637119,3.663399919,2.777781,4.5526,4.436328167,4.736996,2.52806315,4.945254791,3.242164768,4.182957649,2.8961,3.324470626,3.982,4.583,3.765889699,1.255366671
1975,2.522553245,2.311179883,3.4883,1.898321899,2.721130935,3.53777927,3.066903,1.032046,2.587354292,2.005218,2.2442,2.991926434,3.369538,1.179722033,3.003960947,2.121580013,3.202239037,1.58764,1.843735154,3.113,3.14529,2.522553245,0.759884068
1976,2.997899716,3.11112121,3.7591,1.952868292,3.112103312,3.70958752,3.230428,0.935561,2.759159242,2.115092,1.9054,4.939556055,3.120001,3.34627573,3.971358926,2.013837034,3.70112133,1.70151,2.359443668,4.014,4.20047,2.997899716,1.011117266
1977,1.417101717,2.322960853,2.7525,2.521454262,0.506726222,2.5519751,1.179656,-0.285735,1.265688143,0.6663065,1.4824,1.994976627,0.183703,0.395856014,1.41242351,1.410552031,2.456425667,0.913527,0.820598402,1.985,1.80504,1.417101717,0.875031539
1978,2.538517653,3.833244277,4.4282,1.956564444,2.38948781,2.77127102,2.911551,-0.587232,2.65271628,1.75854,3.5537,2.925764633,3.131862,0.945418419,3.191106619,1.406090744,2.667714357,2.21414,2.888073466,2.316,3.41614,2.538517653,1.101095612
1979,1.165996657,2.445415983,1.1226,1.294014282,1.05459906,2.88403898,0.3410512,-0.75878,1.496988325,0.8540811,3.1022,1.324756321,0.162308,-0.401096192,1.171215544,0.363302535,1.894551992,1.00409,0.337336009,1.604,2.02326,1.165996657,1.006908973
1980,0.442966614,2.047880097,-0.6638,2.72146298,0.653333607,2.57366714,-0.9039642,-0.425508,1.399805487,0.7197028,1.6567,0.545998998,-1.044825,-2.076274785,-0.588848243,-1.199581505,1.082220554,0.869935,-1.039152645,0.851,1.67958,0.442966614,1.365491224
1981,2.174755512,2.813906257,3.0025,1.865813692,3.169397349,2.98091876,2.773132,0.855781,2.332591549,1.880613,3.141,1.930984807,1.70821,-0.365355329,2.203766141,0.783446545,3.545186758,2.0922,1.993007716,1.879,2.90901,2.174755512,0.950941487
1982,1.620518848,2.312879224,2.0187,1.3395243,1.663109733,3.50352135,1.972175,0.770048,2.079618759,1.082338,0.9701,3.111868217,1.799827,0.427407545,1.236421463,0.690748085,2.002798796,1.72504,-0.190218507,1.519,2.37547,1.620518848,0.880869287
1983,0.359767066,1.161198241,-0.8758,2.776536584,0.668350437,1.95054025,-0.5408443,-0.430916,0.796762777,0.3286103,1.882,0.265499288,-0.423168,-1.972384839,-0.778932359,-1.338593352,1.316674948,0.734897,-0.13125965,-0.16,1.96617,0.359767066,1.234822527
1984,2.841700739,3.359548135,4.3876,3.208434105,3.42798755,3.32657652,3.175346,2.476469,2.774187024,2.554302,3.0162,2.037735792,3.62225,1.113905725,3.132187905,1.826446859,3.154760122,2.99203,0.788148036,3.175,3.2849,2.841700739,0.850227012
